2015-10-25 03:27:57,004 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\main\resources
2015-10-25 03:27:57,007 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:27:57,008 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\test\resources
2015-10-25 03:27:59,520 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:27:59,522 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\main\resources
2015-10-25 03:27:59,524 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:27:59,525 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\test\resources
2015-10-25 03:32:10,861 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:32:10,862 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\main\resources
2015-10-25 03:32:10,864 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:32:10,865 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\test\resources
2015-10-25 03:35:39,427 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:35:39,430 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\main\resources
2015-10-25 03:35:39,432 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:35:39,433 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\test\resources
2015-10-25 03:36:23,093 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:36:23,094 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\main\resources
2015-10-25 03:36:23,096 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-25 03:36:23,097 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\DROPBOX_DATA\Dropbox\MAESTRÍA ANDES\MEJORAMIENTO_DE_LA_PRODUCTIVIDAD_AUTOMATIZACION\WorkspaceTransformaciones\ExposicionCaninaWeb\src\test\resources
